# forefst win11refs2tspecials.raw timeline --limit 200
# ----------------------------------------------------------------------------
==============================================================================
ReFS Super-Timeline — win11refs2tspecials.raw
==============================================================================
  Sources merged: USN=0  MLog=1016  $SI-MACB=6200  (joined by OID, sorted by time)
  NOTE: USN journal inactive on this image — timeline is $SI + MLog only.
  Caveat: USN and $SI carry exact FILETIMEs. MLog has NO wall-clock time — an MLog row's time is
          the affected object's embedded $SI birth (approximate; for a RENAME/MOVE it is the object
          birth, not the op time). MLog times that predate the volume are undated + marked.
          (6 MLog rows had an impossible pre-volume time → undated.)
------------------------------------------------------------------------------
  Timestamp (UTC)          Src    OID         Name/Path                   Event
  ----------------------------------------------------------------------------
  2021-05-18 07:16:04 UTC  $SI    —           test/elvis_dir_papa_8053…   Created
  2021-09-05 16:40:29 UTC  $SI    —           testspecials2/dir_log_29…   Created
  2021-09-05 16:40:29 UTC  $SI    —           testspecials2/dir_log_29…   Modified
  2021-09-05 16:40:29 UTC  $SI    —           testspecials2/dir_log_29…   Accessed
  2021-09-26 07:16:24 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2021-09-29 07:16:41 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2021-10-04 07:16:49 UTC  $SI    —           test/elvis_dir_victor_78…   Created
  2021-10-04 07:16:49 UTC  $SI    —           test/elvis_dir_victor_78…   Modified
  2021-10-04 07:16:49 UTC  $SI    —           test/elvis_dir_victor_78…   Accessed
  2021-10-07 16:38:17 UTC  $SI    —           testspecials2/dir_kilo_6…   Created
  2021-10-14 07:17:10 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2021-10-14 07:17:10 UTC  $SI    —           test/elvis_dir_record_44…   Modified
  2021-10-14 07:17:10 UTC  $SI    —           test/elvis_dir_record_44…   Accessed
  2021-10-15 07:17:19 UTC  $SI    —           test/xbpt_config_log_982…   Created
  2021-10-15 07:17:19 UTC  $SI    —           test/xbpt_config_log_982…   Modified
  2021-10-15 07:17:19 UTC  $SI    —           test/xbpt_config_log_982…   Accessed
  2021-10-19 07:16:21 UTC  $SI    —           test/elvis_dir_papa_8053…   Modified
